鳥|鳥の巣; 野鳥|`tori` no `su`; `ya``chou`|bird's nest; wild bird|tori:鳥の巣;chou:野鳥
銭|金銭; 銭; 釣り銭|`kin``sen`; zeni; `tsu`ri`sen`|money; money; change|sen:金銭,釣り銭;zeni:銭
授|授ける; 授受; 授業; 授与|`sazu`keru; `ju``ju`; `ju``gyou`; `ju``yo`|to grant, teach; giving and receiving, changing hands, transferring; class, lesson; awarding, conferment|sazu:授ける;ju:授受,授業,授与
受|受ける; 授受; 感銘を受ける; 受験; 甘受; 受胎; 受注|`u`keru; `ju``ju`; `kan``mei` wo `u`keru; `ju``ken`; `kan``ju`; `ju``tai`; `ju``chuu`|receive; giving and receiving, changing hands, transferring; to be deeply impressed; taking an examination; submitting to, resigning oneself to, accepting (without complaint); conception, fertilization; accepting an order, receiving an order|u:受ける,感銘を受ける;ju:授受,受験,甘受,受胎,受注
家|国家; 家計; 家具; 家屋; 家路; 実業家; 好事家; 貸家; 宗家; 専門家; 愛煙家; 家畜|`kok``ka`; `ka``kei`; `ka``gu`; `ka``oku`; `ie``ji`; `jitsu``gyou``ka`; `kou``zu``ka`; `kashi``ya`; `sou``ke`; `sen``mon``ka`; `ai``en``ka`; `ka``chiku`|nation, state; household budget, family finances; furniture; house, building; the road home; businessperson, entrepreneur; person of refined taste, dilettante, person of unusual taste, person with strange hobbies; house for rent; head of family, originator; specialist, expert, authority; heavy smoker, person who loves smoking; livestock|ka:国家,家計,家具,家屋,実業家,好事家,専門家,愛煙家,家畜;ie:家路;ya:貸家;ke:宗家
財|人財; 財布; 財界; 財政; 財政難; 財産; 財源|`jin``zai`; `sai``fu`; `zai``kai`; `zai``sei`; `zai``sei``nan`; `zai``san`; `zai``gen`|capable person, talented person, personnel; wallet; business world; public finance, financial affairs; economic difficulties; property, fortune, assets; financial resources|sai:人財,財布,財界,財政,財政難,財産,財源
界|財界; 境界; 世界中|`zai``kai`; `kyou``kai`; `se``kai``juu`|business world; boundary; throughout the world|kai:財界,境界,世界中
湯|湯元; 湯気; 茶の湯; 湯飲み; 熱湯|`yu``moto`; `yu``ge`; `cha`no`yu`; `yu``no`mi; `net``tou`|source of a hotspring; vapor, steam; tea ceremony; cup (for drinking tea); boiling water|yu:湯元,湯気,茶の湯,湯飲み;tou:熱湯
元|湯元; 地元; 元年; 元日; 元首; 還元; 元素; 足元; 枕元|`yu``moto`; `ji``moto`; `gan``nen`; `gan``jitsu`; `gen``shu`; `kan``gen`; `gen``so`; `ashi``moto`; `makura``moto`|source of a hotspring; home area/town; first year (of a reign); New Year's Day; ruler, sovereign; to return/restore (e.g. company profits to the customers); chemical element; around one's feet; one's bedside|moto:湯元,地元,足元,枕元;gan:元年,元日;gen:元首,還元,元素
口|口紅; 口調; 人口; 異口同音に; 口臭; 陰口; 火口; 口述; 甘口; 口説く; 口実; 口語|`kuchi``beni`; `ku``chou`; `jin``kou`; `i``ku``dou``on` ni; `kou``shuu`; `kage``guchi`; `ka``kou`; `kou``jutsu`; `ama``kuchi`; kudoku; `kou``jitsu`; `kou``go`|lipstick; tone (of voice); population; with one voice, with one accord; bad breath; malicious gossip, speaking ill behind someone's back; (volcanic) crater; dictation, verbal statement; sweet (e.g. wine, sake); to pester, to force conversation on; excuse/pretext (e.g. to meet someone); spoken language, colloquial speech|kuchi:口紅,陰口,甘口;ku:口調,異口同音に;kou:人口,口臭,火口,口述,口実,口語;kudoku:口説く
余|余計; 余る; 余暇; 余分; 余所; 余罪; 余地; 余暇|`yo``kei`; `ama`ru; `yo``ka`; `to``bun`; `yo``so`; `yo``zai`; `yo``chi`; `yo``ka`|unnecessary; to be left over; leisure time, spare time; excess, surplus; somewhere else, another place, away from here; other crimes, further offences; space, room (e.g. for doubt); spare time, leisure time|yo:余計,余暇,余所,余罪,余地;ama:余る;to:余分
計|余計; 計る; 時計; 合計; 設計; 家計; 生計; 会計; 累計; 計算; 計画; 統計; 計略|`yo``kei`; `haka`ru; `to``kei`; `gou``kei`; `sek``kei`; `ka``kei`; `sei``kei`; `kai``kei`; `rui``kei`; `kei``san`; `kei``kaku`; `tou``kei`; `kei``ryaku`|unnecessary; to measure; clock; sum total, total amount; plan, design, layout; household budget, family finances; livlihood, living; accounting, bill (at a restraunt); cumulative/accumulated total; calculation; plan; statistics; strategem, plan, scheme, trick|kei:余計,時計,合計,設計,家計,生計,会計,累計,計算,計画,統計,計略;haka:計る
会|会計; 会社員; 会員; 会議; 議会; 再会; 機会; 会得; 司会; 博覧会; 舞踏会; 会談; 懇談会; 懇親会; 社会保障; 協会; 村議会; 大会; 閉会式|`kai``kei`; `kai``sha``in`; `kai``in`; `kai``gi`; `gi``kai`; `sai``kai`; `ki``kai`; `e``toku`; `shi``kai`; `haku``ran``kai`; `bu``tou``kai`; `kai``dan`; `kon``dan``kai`; `kon``shin``kai`; `sha``kai``ho``shou`; `kyou``kai`; `son``gi``kai`; `tai``kai`; `hei``kai``shiki`|accounting, bill (at a restraunt); company worker; member; meeting; congress, parliament, diet; to meet again; chance, oppurtunity; master, understanding, comprehension; chairmanship, leading a meeting, host, moderator; exhibition, expo, fair; a ball, a dance; (formal) talks, conference; informal chat (e.g. with the prime minister); get-together, social gathering, friendly meeting; social security; association, organization, society; village assembly; convention, tournament, general meeting, rally; closing ceremony|kai:会計,会社員,会員,会議,議会,再会,機会,司会,博覧会,舞踏会,会談,懇談会,懇親会,社会保障,協会,村議会,大会,閉会式;e:会得
尉|大尉; 中尉|`tai``i`; `chuu``i`|captain; lieutenant|i:大尉,中尉
中|中尉; 中型; 真ん中; 中古; 中央; 一晩中; 中性; 中性洗剤; 中華; 中華街; 中陰; 中継; 生中継; 中東; 中核; 中身; 懐中; 世界中; 手中; 訪中; 途中; 中途; 中途半端; 近日中に; 中巻; 命中; 背中; 熱中|`chuu``i`; `chuu``gata`; `ma`n`naka`; `chuu``ko`; `chuu``ou`; `hito``ban``juu`; `chuu``sei`; `chuu``sei` `sen``zai`; `chuu``ka`; `chuu``ka``machi`; `chuu``in`; `chuu``kei`; `nama``chuu``kei`; `chuu``tou`; `chuu``kaku`; `naka``mi`; `kai``chuu`; `se``kai``juu`; `shu``chuu`; `hou``chuu`; `to``chuu`; `chuu``to`; `chuu``to``han``pa`; `kin``jitsu``chuu`ni; `chuu``kan`; `mei``chuu`; `se``naka`; `nec``chuu`|lieutenant; medium size (model/machine); right in the middle; used, second-hand; center, Chuo ward in Tokyo; all night long; neutral (incl chemically/electrically), indifferent; neutral detergent; Chinese food; chinatown; buddhist state between death and rebirth; relay; live broadcast; Middle East; core, nucleus, center; contents, interior; one's pocket; throughout the world; in one's grasp; to visit China; in the middle of (e.g. a journey, a process); halfway, midpoint; half-baked, unfinished; soon, one of these days; the middle volume; hitting the mark, (direct) hit; back (of the body); being wild about, being absorbed in, being enthusiastic about|chuu:中尉,中型,中古,中央,中性,中性洗剤,中華,中華街,中陰,中継,生中継,中東,中核,懐中,手中,訪中,途中,中途,中途半端,近日中に,中巻,命中,熱中;naka:真ん中,中身,背中;juu:一晩中,世界中
猟|猟犬|`ryou``ken`|hunting dog|ryou:猟犬
犬|猟犬; 狂犬; 犬猿|`ryou``ken`; `kyou``ken`; `ken``en`|hunting dog; mad dog; dogs and monkeys (bad relationship)|ken:猟犬,狂犬,犬猿
型|中型; 模型; 造型; 典型; 典型的|`chuu``gata`; `mo``kei`; `zou``kei`; `ten``kei`; `ten``kei``teki`|medium size (model/machine); model, dummy; suru:to mold, shape, model (i.e. plastic arts); type, pattern, exemplary; typical, stereotypical, representative|gata:中型;kei:模型,造型,典型,典型的
顕|顕微鏡; 顕現; 顕彰|`ken``bi``kyou`; `ken``gen`; `ken``shou`|microscope; suru: to manifest; honouring (publicly)|ken:顕微鏡,顕現,顕彰
微|顕微鏡; 微妙; 微細|`ken``bi``kyou`; `bi``myou`; `bi``sai`|microscope; delicate, subtle, sensitive, doubtful, questionable; minute, fine, detailed, subtle|bi:顕微鏡,微妙,微細
鏡|顕微鏡; 鏡|`ken``bi``kyou`; kagami|microscope; mirror|kyou:顕微鏡;kagami:鏡
鼓|鼓; 太鼓; 鼓動|tudumi; `tai``ko`; `ko``dou`|hand drum; taiko; heartbeat|tudumi:鼓;ko:太鼓,鼓動
太|太鼓; 皇太子|`tai``ko`; `kou``tai``shi`|taiko; crown prince|tai:太鼓,皇太子
動|鼓動; 不動産; 動向; 暴動; 扇動; 動揺; 胎動; 動く; 動物; 自動; 活動; 動詞; 移動|`ko``dou`; `fu``dou``san`; `dou``kou`; `bou``dou`; `sen``dou`; `dou``you`; `tai``dou`; `ugo`ku; `dou``butsu`; `ji``dou`; `katsu``dou`; `dou``shi`; `i``dou`|heartbeat; real estate; trend, tendency, movement; insurrection, rebellion, revolt, riot; incitement, sedition, agitation; children's song, nursery rhyme; fetal movement; to move, to work, to operate; animal; automatic; activity (of a person, a volcano, etc.); verb; to move (location)|dou:鼓動,不動産,動向,暴動,扇動,動揺,胎動,動物,自動,活動,動詞,移動;ugo:動く
研|研究; 研ぐ; 学研; 研磨|`ken``kyuu`; `to`gu; `gak``ken`; `ken``ma`|research; sharpen, hone, whet, grind, wash (rice); study and research; suru: to grind, to polish|ken:研究,学研,研磨;to:研ぐ
究|研究; 究める; 学究; 究極; 究明|`ken``kyuu`; `kiwa`meru; `gak``kyuu`; `kyuu``kyoku`; `kyuu``mei`|research; to investigate thoroughly, to master; scholar, student; ultimate, final; to look deep into, to investigate, to inquire info|kyuu:研究,学究,究極,究明;kiwa:究める
可|不可能な; 不可分; 許可; 不可避; 不可逆; 可哀想|`fu``ka``nou` na; `fu``ka``bun`; `kyo``ka`; `fu``ka``hi`; `fu``ka``gyaku`; `ka``wai``sou`|impossible; indivisible, inseparable; permission; unavoidable, inevitable; irreversible; poor, pitiable|ka:不可能な,不可分,許可,不可避,不可逆,可哀想
能|不可能な; 能力; 性能; 知能; 本能; 万能; 不能; 機能; 才能; 技能; 芸能人|`fu``ka``nou` na; `nou``ryoku`; `sei``nou`; `chi``nou`; `hon``nou`; `ban``nou`; `fu``nou`; `ki``nou`; `sai``nou`; `gi``nou`; `gei``nou``jin`|impossible; ability; ability, performance, efficiency; intelligence; instinct; all-purpose, omnipotent, works on everything; incompetent; function, facility, feature; talent, ability; skill; entertainer, performer, celebrity, personality|nou:不可能な,能力,性能,知能,本能,万能,不能,機能,才能,技能,芸能人
性|性能; 酸性; 性別; 中性; 中性洗剤; 惰性; 難消化性; 性欲; 性質; 性格; 素性; 適性; 根性|`sei``nou`; `san``sei`; `sei``betsu`; `chuu``sei`; `chuu``sei` `sen``zai`; `da``sei`; `nan``shou``ka``sei`; `sei``yoku`; `sei``shitsu`; `sei``kaku`; `su``jou`; `teki``sei`; `kon``jou`|ability, performance, efficiency; acidity; gendre, sex; neutral (incl chemically/electrically), indifferent; neutral detergent; (by force of) habit, inertia, momentum; indigestion; sexual desire; nature, property, disposition; personality, someone's nature, disposition; lineage, parentage, background, identity; suitability, aptness; guts, determination|sei:性能,酸性,性別,中性,中性洗剤,惰性,難消化性,性欲,性質,性格,適性;jou:素性,根性
知|知能; 知る; 知人; 知覚; 告知; 知行合一; 承知; 周知; 察知|`chi``nou`; `shi`ru; `chi``jin`; `chi``kaku`; `koku``chi`; `chi``kou``gou``itsu`; `shou``chi`; `shuu``chi`; `sac``chi`|intelligence; to know; someone you know, an aquaintance; suru: to perceive; notice, announcement; awareness comes only through practice; awareness, knowledge, agreement, consent; common knowledge, well-known; to pirck up on, to sense, to infer, to gather|chi:知能,知人,知覚,告知,知行合一,承知,周知,察知;shi:知る
万|万能; 万歳; 万年筆; 万事|`ban``nou`; `ban``zai`; `man``nen``hitsu`; `ban``ji`|all-purpose, omnipotent, works on everything; banzai; fountain pen; all, everything|ban:万能,万歳,万事;man:万年筆
許|許す; 許可; 許容; 免許|`yuru`su`; `kyo``ka`; `kyo``you`; `men``kyo`|to allow; permission; suru: permit, accept, pardon; license, permit|yuru:許す;kyo:許可,許容,免許
巧|巧妙; 巧み; 巧拙; 巧遅; 巧言令色|`kou``myou`; `taku`mi; `kou``setsu`; `kou``chi`; `kou``gen``rei``shoku`|clever, sophisticated, skillful, ingenius; skill, cleverness; tact, skill, workmanship; polished and slowly made (opposite of slipshod); flattery, honeyed words|kou:巧妙,巧拙,巧遅,巧言令色;taku:巧み
錠|錠前; 錠|`jou``mae`; jou|lock (on a door); lock|jou:錠前,錠
優|優秀; 優しい; 優れる; 優勝; 女優; 優勢; 優劣; 優等生; 優先; 優る|`yuu``shuu`; `yasa`shii; `sugu`reru; `yuu``shou`; `jo``yuu`; `yuu``sei`; `yuu``retsu`; `yuu``tou``sei`; `yuu``sen`; `masa`ru|excellence; kind; to surpass, excel; victory; actress; superior, advantaged; relative merits, superiority or inferiority; honor student (opposite 劣等生); suru: to give priority to (something over another); same as 勝る (masaru) basically|yuu:優秀,優勝,女優,優勢,優劣,優等生,優先;yasa:優しい;sugu:優れる;masa:優る
秀|優秀|`yuu``shuu`|excellence|shuu:優秀
勝|優勝; 勝負; 勝敗; 準決勝; 勝者; 勝訴; 勝る|`yuu``shou`; `shou``bu`; `shou``hai`; `jun``kes``shou`; `shou``sha`; `shou``so`; `masa`ru|victory; match; victory or defeat, outcome; semi-final match; winner; to win a case; to outrival, to surpass, to have an edge, to outweigh (AはBに勝る = A>B)|shou:優勝,勝負,勝敗,準決勝,勝者,勝訴;masa:勝る
女|女優; 女装; 女房; 男尊女卑|`jo``yuu`; `jo``sou`; `nyou``bou`; `dan``son``jo``hi`|actress; dressing as a female; wife (esp. one's own); male domination of women, chauvinism|jo:女優,女装,男尊女卑;nyou:女房
謙|謙譲の美徳; 謙る; 謙遜; 謙虚|`ken``jou` no `bi``toku`; `herikuda`ru; `ken``son`; `ken``kyo`|virtue of modesty; to deprecate oneself and praise the listener; humility, modesty; modest, humble|ken:謙譲の美徳,謙遜,謙虚;herikuda:謙る
譲|謙譲の美徳; 譲る; 譲歩; 割譲|`ken``jou` no `bi``toku`; `yuzu`ru; `jou``ho`; `katsu``jou`|virtue of modesty; to yield, concede; concession, conciliation, compromise; cession (of territory)|jou:謙譲の美徳,譲歩,割譲;yuzu:譲る
徳|謙譲の美徳; 道徳|`ken``jou` no `bi``toku`; `dou``toku`|virtue of modesty; morals|toku:謙譲の美徳,道徳
歩|譲歩; 歩行者; 歩く; 歩道; 徒歩; 進歩; 歩む; 散歩; 歩兵; 初歩|`jou``ho`; `ho``kou``sha`; `aru`ku; `ho``dou`; `to``ho`; `shin``po`; `ayu`mu; `san``po`; `ho``hei`; `sho``ho`|concession, conciliation, compromise; pedestrian; walk; walkway; walking, going on foot; progress; to walk, to go on foot; walk; infantry, foot soilder; first steps, the ABCs, basics|ho:譲歩,歩行者,歩道,徒歩,進歩,散歩,歩兵,初歩;aru:歩く;ayu:歩む
社|会社員; 結社; 副社長; 他社; 社会保障; 社債; 弊社|`kai``sha``in`; `kes``sha`; `fuku``sha``chou`; `ta``sha`; `sha``kai``ho``shou`; `sha``sai`; `hei``sha`|company worker; society, association; vice president; another company; social security; corporate bond; our company/firm (humble)|sha:会社員,結社,副社長,他社,社会保障,社債,弊社
員|会社員; 会員; 全員; 職員; 従業員; 満員; 随員; 陪審員; 清掃員; 役員|`kai``sha``in`; `kai``in`; `zen``in`; `shoku``in`; `juu``gyou``in`; `man``in`; `zui``in`; `bai``shin``in`; `sei``sou``in`; `yaku``in`|company worker; member; all members, everyone; staff member; worker, employee; full house, no vacancies; member of an entourage/retinue/party; member of the jury; janitor, cleaner; executive, officer|in:会社員,会員,全員,職員,従業員,満員,随員,陪審員,清掃員,役員
卵|卵巣; 卵; 卵子; 排卵; 卵黄|`ran``sou`; tamago; `ran``shi`; `hai``ran`; `ran``ou`|ovary; egg; egg (ovum); ovulation; egg yolk|ran:卵巣,卵子,排卵,卵黄;tamago:卵
臼|臼; 脱臼|usu; `dak``kyuu`|mortar; dislocation (e.g. of a joint)|usu:臼;kyuu:脱臼
加|加盟; 加える; 加わる; 増加; 添加; 添加物; 加減; 手加減; 加速; 加工; 加工乳; 加湿器; 加担; 加担者|`ka``mei`; `kuwa`eru; `kuwa`waru; `zou``ka`; `ten``ka`; `ten``ka``butsu`; `ka``gen`; `te``ka``gen`; `ka``soku`; `ka``kou`; `ka``kou``nyuu`; `ka``shitsu``ki`; `ka``tan`; `ka``tan``sha`|suru: to join (a league, a federation, etc.); to add to; to join; increase, increment (反: 減少); addition; additive; suru: adjust, regulate; holding back; acceleration; to process (food, etc.) (e.g. in a factory/facility); processed milk; humidifier; support, assist, be complicit; accomplice|ka:加盟,増加,添加,添加物,加減,手加減,加速,加工,加工乳,加湿器,加担,加担者;kuwa:加える,加わる
盟|加盟; 同盟; 連盟|`ka``mei`; `dou``mei`; `ren``mei`|suru: to join (a league, a federation, etc.); alliance; a league|mei:加盟,同盟,連盟
連|連盟; 連絡; 連れる; 連行; 連結; 連続; 連係; 関連; 連覇; 関連|`ren``mei`; `ren``raku`; `tsu`reru; `ren``kou`; `ren``ketsu`; `ren``zoku`; `ren``kei`; `kan``ren`; `ren``pa`; `kan``ren`|a league; to contact; to bring along; to take (a suspect in), dragging to the police; concatenation, consolidation; serial, consecutively occurring; linking, connection; relation, connection, relevance; successive championships; relation, connection, "in relation to"|ren:連盟,連絡,連行,連結,連続,連係,関連,連覇;tsu:連れる
